"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Harbour Island","Tampa","FL","Tampa","Hillsborough",603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2300,2400,2250,2200,2095,2200,2200,2100,2000,2200,2200
"Northwest Harbor","East Hampton","NY","New York","Suffolk",604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39900,40000,38000,38000,35000,35000,35000,35000,36000,35000,35000,35000
"West End","Washington","DC","Washington","District of Columbia",605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,2925,2900,2900,2900,2995,3100,3000,2900,2950,3199,3050
"Flagler Heights","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.5,1817,1650,1867,1925,1900,1870,1875,1900,1900,1900,1997.5,1900
"Washington Village","Baltimore","MD","Baltimore","Baltimore City",607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1372.5,1250,1225,1300,1325,1300,1312.5,1300,1300,1300,1250,1250,1200,1200,1200
"City Center","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2650,2750,2475,2400,2300,2400,2575,2800,2750,2750,2800,3000,3200,3000,3200,2700,2750,3000,2875,2850,3000,3200,3100,2925,3300,2950,3100,3000,3200,3100,2900,2800,2800,2675,2800,3000,2900,2875,2500,2825,2425,2550,2450,2600,2400,2600,2150,2350,2450,2600,2450,2400,2500,2500,2600,3000,2950,2700,2700,2800
"Central Park","New York","NY","New York","New York",609,,,,,,,,,,,,,,,,,,,2950,3205,3274.5,3350,3447.5,3225,3400,3405,3300,3250,3405,3495,3500,3480,3650,3600,3600,3600,3600,3600,3595,3580,3550,3635,3651,3697.5,3860,3900,3695,3695,3695,3695,3695,3860,3860,3950,3498,3595,3600,3600,3600,3600,3600,3595,3600,3600,3600,3600,3610,3620,3600,3547.5,3500,3595,3595,3600,3600,3595,3600,3600,3600,3600,3600,3600,3610,3600,3600,3595,3547.5,3500,3450,3600,3597.5,3600,3600,3600,3600,3545
"DUMBO","New York","NY","New York","Kings",610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5200,5000,5000,5000,4700,4195,4475,5000,5000,5000,4995,5000
"The Strip","Las Vegas","NV","Las Vegas","Clark",611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,2225,2275,2150,2350,2100,2300,2395,2347.5,2300,2291.5,2288,2300,2200,2295,2250,2200,2200,2200
"Sailboat Bend","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2200,2100,2100,2150,2200,2300,2280,2200,2300,2300,2300,2275
